model_name,candidate_name,fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,26,ema_distance_60,181.68946838378906,1635.2052001953125,9.0,14393.07421875,129537.6640625,0.02093860886679576,8
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,27,ema_distance_120,504.4169006347656,38335.68359375,76.0,41172.13671875,3129082.5,0.49088388681426326,1
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,28,ema_spread_5_20,64.28675842285156,1350.02197265625,21.0,16384.84375,344081.71875,0.017286871423631063,10
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,29,ema_spread_20_60,498.8597717285156,9478.3359375,19.0,39241.5625,745589.6875,0.12136896878734334,2
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,30,normalized_slope_15m,32.99442672729492,131.9777069091797,4.0,5346.92626953125,21387.705078125,0.0016899589016582455,28
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,31,normalized_slope_60m,85.60771179199219,2225.800537109375,26.0,22383.6484375,581974.875,0.02850111218853175,5
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,32,range_position_30m,54.52342987060547,109.04685974121094,2.0,14274.326171875,28548.65234375,0.0013963321202750774,30
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,33,range_position_60m,24.60727882385254,49.21455764770508,2.0,6309.30859375,12618.6171875,0.0006301865802619667,40
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,34,range_position_120m,84.32376861572266,2192.41796875,26.0,19630.9765625,510405.375,0.028073652355501293,6
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,35,support_distance_60m,32.69142532348633,196.1485595703125,6.0,6214.79296875,37288.7578125,0.0025116590677045324,23
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,36,resistance_distance_60m,27.140472412109375,135.70236206054688,5.0,1265.114501953125,6325.57275390625,0.0017376526696140093,27
