fold_name,feature_index,feature_name,coefficient,absolute_coefficient,coefficient_rank,coefficient_sign
fold_2022,50,taker_buy_quote_ratio_1m,0.008951154235808027,0.008951154235808027,34,positive
fold_2022,51,taker_buy_quote_ratio_5m,-0.0033525069469711372,0.0033525069469711372,49,negative
fold_2022,52,taker_buy_quote_ratio_15m,-0.0059840478973247815,0.0059840478973247815,42,negative
fold_2022,53,taker_buy_quote_ratio_60m,-0.004673986811520516,0.004673986811520516,47,negative
fold_2022,54,buy_pressure_change_5_60,-0.001055599107357613,0.001055599107357613,58,negative
fold_2022,55,buy_pressure_persistence_15m,-0.00612401196950337,0.00612401196950337,41,negative
fold_2022,56,buy_pressure_std_15m,0.01641360735744777,0.01641360735744777,21,positive
fold_2022,57,log_trade_count_zscore_60m,0.013861809257760422,0.013861809257760422,26,positive
fold_2022,58,log_avg_trade_quote_size_zscore_60m,0.016799553452864567,0.016799553452864567,20,positive
fold_2022,59,time_sin,-0.04938034990732505,0.04938034990732505,2,negative
fold_2022,60,time_cos,-0.006132347079118943,0.006132347079118943,40,negative
fold_2022,61,weekday_sin,0.01605475989131281,0.01605475989131281,22,positive
fold_2022,62,weekday_cos,-0.005818946483396721,0.005818946483396721,43,negative
fold_2022,63,is_weekend,0.01744869345895982,0.01744869345895982,19,positive
fold_2023,1,log_return_1m,-0.00042118073259783017,0.00042118073259783017,61,negative
fold_2023,2,log_return_3m,-0.00465589303163936,0.00465589303163936,45,negative
fold_2023,3,log_return_5m,0.0038761132177458973,0.0038761132177458973,47,positive
fold_2023,4,log_return_10m,-0.010159676937978396,0.010159676937978396,28,negative
fold_2023,5,log_return_15m,0.014255555013949713,0.014255555013949713,25,positive
fold_2023,6,log_return_30m,0.00940058021381663,0.00940058021381663,31,positive
fold_2023,7,log_return_60m,0.028147649560986622,0.028147649560986622,13,positive
fold_2023,8,log_return_120m,-0.024578051033695376,0.024578051033695376,15,negative
fold_2023,9,momentum_acceleration_5_30,0.00024220314091470075,0.00024220314091470075,62,positive
fold_2023,10,momentum_acceleration_15_60,0.0006922990499227193,0.0006922990499227193,60,positive
fold_2023,11,efficiency_ratio_15m,0.0010721045747169736,0.0010721045747169736,58,positive
fold_2023,12,efficiency_ratio_60m,0.001977757980914455,0.001977757980914455,55,positive
fold_2023,13,up_candle_ratio_15m,-0.012896577730246541,0.012896577730246541,26,negative
fold_2023,14,realized_volatility_5m,0.007536561977378597,0.007536561977378597,33,positive
fold_2023,15,realized_volatility_15m,0.006373592557319661,0.006373592557319661,37,positive
