decision_month_utc,sample_count,up_count,down_or_equal_count,up_ratio,mean_return,median_return,return_std,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
202304,8640,4232,4408,0.4898148148148148,5.1230602186574784e-05,-6.048714413692258e-05,0.004838791933084193,0.16400462962962964,0.315625
202305,8928,4441,4487,0.497423835125448,-9.181787163117027e-05,-1.2465108326586982e-05,0.003925445960661713,0.17753136200716846,0.3419578853046595
202306,8640,4457,4183,0.5158564814814814,0.00016858169355886022,8.690541197731161e-05,0.004455566888165712,0.16493055555555555,0.3145833333333333
202307,8928,4435,4493,0.49675179211469533,-5.220923149908606e-05,-1.2506433566261688e-05,0.002832019197866681,0.2541442652329749,0.4592293906810036
202308,8928,4307,4621,0.48241487455197135,-0.0001498421508921584,-5.496917938357937e-05,0.003918634911268646,0.27352150537634407,0.4838709677419355
202309,8640,4341,4299,0.5024305555555556,5.5168504707169894e-05,8.615684786494882e-06,0.0029822620739321914,0.24895833333333334,0.45057870370370373
202310,8928,4693,4235,0.525649641577061,0.0003433042768361266,0.0001336695695729473,0.004470111238693191,0.1821236559139785,0.3409498207885305
202311,8640,4453,4187,0.5153935185185186,0.0001273540005549966,0.00010634524701980119,0.004081054882994576,0.15057870370370371,0.29212962962962963
202312,8928,4605,4323,0.5157930107526881,0.0001691451709335303,0.00012395725255431866,0.0042825748944825505,0.13127240143369176,0.26400089605734767
202401,8928,4511,4417,0.5052643369175627,1.848657693589046e-05,4.391890532384757e-05,0.005707034994964205,0.11883960573476703,0.243839605734767
202402,8352,4393,3959,0.5259818007662835,0.0005423202987183542,0.00017871777888056606,0.0049757785324022145,0.13769157088122605,0.26927681992337166
202403,8928,4694,4234,0.5257616487455197,0.00022103333704660355,0.00026913158082353394,0.006973263412907932,0.09408602150537634,0.18884408602150538
202404,8640,4193,4447,0.48530092592592594,-0.00020262042243399526,-0.00014449375277725274,0.0066655804061683055,0.09988425925925926,0.19328703703703703
202405,8928,4522,4406,0.5064964157706093,0.0001616354273049313,5.1880255950043086e-05,0.004939175218706862,0.12410394265232975,0.2505600358422939
202406,8640,4294,4346,0.49699074074074073,-9.616892633258103e-05,-1.1613445047797821e-05,0.0038291141859150375,0.20277777777777778,0.3715277777777778
202407,8928,4599,4329,0.5151209677419355,5.444276021113803e-05,0.00012591320883281742,0.005290468384024672,0.10775089605734767,0.2144937275985663
202408,8928,4497,4431,0.5036962365591398,-9.719357072501358e-05,3.142521209376081e-05,0.007251593715783413,0.10170250896057348,0.20082885304659498
202409,8640,4341,4299,0.5024305555555556,0.00010911137028740575,1.81274412698329e-05,0.004616019298137874,0.12314814814814815,0.23935185185185184
202410,8928,4615,4313,0.516913082437276,0.00015020070119589672,0.00011351610728616013,0.0041720965252515785,0.14269713261648745,0.2824820788530466
202411,8640,4609,4031,0.533449074074074,0.0004564768589569863,0.0003254024196043259,0.005864936015190048,0.10729166666666666,0.20451388888888888
202412,8928,4540,4388,0.5085125448028673,-2.136107445635415e-05,7.327716647220761e-05,0.005772619719733851,0.1124551971326165,0.21550179211469533
202501,8928,4508,4420,0.5049283154121864,0.00013456658517482556,4.505004450250372e-05,0.005747567178444754,0.1226478494623656,0.23431899641577061
