fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
fold_2022,44,upper_wick_mean_15m,34.338890075683594,892.8110961914062,26.0,24886.7109375,647054.5,0.008390646385962944,18
fold_2022,45,lower_wick_mean_15m,24.227863311767578,242.27862548828125,10.0,13546.40625,135464.0625,0.002276936612931048,36
fold_2022,46,is_zero_volume_1m,0.0,0.0,0.0,0.0,0.0,0.0,60
fold_2022,47,log_quote_volume_zscore_60m,16.496723175048828,32.993446350097656,2.0,2574.632080078125,5149.26416015625,0.00031007269349457025,50
fold_2022,48,volume_ratio_5_60,27.586284637451172,55.172569274902344,2.0,9311.2431640625,18622.486328125,0.000518512282122783,47
fold_2022,49,volume_ratio_15_60,35.736915588378906,1715.3719482421875,48.0,12441.5419921875,597194.0,0.01612108037131166,11
fold_2022,50,taker_buy_quote_ratio_1m,0.0,0.0,0.0,0.0,0.0,0.0,61
fold_2022,51,taker_buy_quote_ratio_5m,23.32248878479004,139.9349365234375,6.0,13052.10546875,78312.6328125,0.0013151097409284604,43
fold_2022,52,taker_buy_quote_ratio_15m,30.880035400390625,370.5604248046875,12.0,18852.884765625,226234.625,0.0034825300698343546,27
fold_2022,53,taker_buy_quote_ratio_60m,31.45589828491211,660.5738525390625,21.0,10638.3798828125,223405.984375,0.006208078766171874,22
fold_2022,54,buy_pressure_change_5_60,0.0,0.0,0.0,0.0,0.0,0.0,62
fold_2022,55,buy_pressure_persistence_15m,24.66900634765625,74.00701904296875,3.0,10709.775390625,32129.326171875,0.0006955186035631999,45
fold_2022,56,buy_pressure_std_15m,47.945011138916016,4890.39111328125,102.0,24748.076171875,2524303.75,0.04595993788119497,5
fold_2022,57,log_trade_count_zscore_60m,18.67871856689453,18.67871856689453,1.0,5972.63623046875,5972.63623046875,0.0001755427582680184,54
fold_2022,58,log_avg_trade_quote_size_zscore_60m,20.297687530517578,20.297687530517578,1.0,584.4259643554688,584.4259643554688,0.00019075784255803,53
fold_2022,59,time_sin,52.36005783081055,6754.447265625,129.0,23120.54296875,2982550.0,0.06347835368563065,4
fold_2022,60,time_cos,43.22646713256836,3587.796630859375,83.0,15020.396484375,1246692.875,0.03371814369546812,6
fold_2022,61,weekday_sin,28.606056213378906,715.1514282226562,25.0,17361.876953125,434046.9375,0.0067209992933894135,21
fold_2022,62,weekday_cos,27.791088104248047,222.32870483398438,8.0,12334.9150390625,98679.3203125,0.0020894470864765776,38
fold_2022,63,is_weekend,0.0,0.0,0.0,0.0,0.0,0.0,63
fold_2023,1,log_return_1m,14.30474853515625,42.91424560546875,3.0,2514.430908203125,7543.29296875,0.000320029391318653,53
fold_2023,2,log_return_3m,32.29111862182617,64.58223724365234,2.0,72852.40625,145704.8125,0.00048161662365210167,49
fold_2023,3,log_return_5m,32.563011169433594,358.193115234375,11.0,73681.2265625,810493.5,0.0026711951480368344,30
fold_2023,4,log_return_10m,49.79818344116211,1294.7528076171875,26.0,18005.34765625,468139.03125,0.009655510590568135,17
fold_2023,5,log_return_15m,21.642459869384766,108.21229553222656,5.0,6133.509765625,30667.548828125,0.0008069841280854176,43
fold_2023,6,log_return_30m,21.73127555847168,260.7752990722656,12.0,8845.3779296875,106144.53125,0.0019447099455105353,37
fold_2023,7,log_return_60m,36.525962829589844,803.5711669921875,22.0,13375.09765625,294252.15625,0.0059925646559882105,24
fold_2023,8,log_return_120m,78.40254974365234,12779.615234375,163.0,33190.6953125,5410083.5,0.09530290995543979,2
fold_2023,9,momentum_acceleration_5_30,36.02330780029297,720.4661865234375,20.0,20230.15234375,404603.0625,0.005372816226539567,25
fold_2023,10,momentum_acceleration_15_60,56.2216682434082,2361.31005859375,42.0,29311.8125,1231096.125,0.017609271935333053,10
